A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
PurePlus+,Amy Keller,Agriculture Water & Waste,2020,West,,Y,2023,A,2024,Acquired by Hanwha Gallery in 2024,,,,,,,,,,,https://www.linkedin.com/in/amygkeller/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
RAF Electronics Corp,Richard Flasck,Energy Efficiency,2020,West,,S,2021,"This isn't really a startup, founded in 1989",,https://www.rafelectronics.com/,,,,,,,,,,Founder shows no other activities,https://www.linkedin.com/in/richard-flasck-7498693a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
ReJoule,Zora Chung,Energy Distribution & Storage,2020,West,,Y,2024,Y,2024,https://rejouleenergy.com/,,,"2024, and website poorly maintained after that, but they raised a $20 million grant at that time.",,https://www.linkedin.com/company/rejoule/,,2026,,,Sole activity for CEO and CFO,https://www.linkedin.com/in/zora-chung/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
RenuLogix,Amir Salahi,Energy Generation,2020,West,,Y,2024,Y,2026,https://renulogix.com/,,,Copyright 2026,,,,,,,CEO lists himself as a full-time professor elsewhere and an operations manager for this. No other employees listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
SierraCrete,Gene Panferov,Chemicals & Advanced Materials,2020,West,,Y,2024,S,2024,"Website says not secure, coming soon",,,,,https://www.linkedin.com/company/sierracrete/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/gpanferov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
SiLi-ion Inc,Giorgio Nava,Chemicals & Advanced Materials,2020,West,,Y,2023,N,2023,,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/giorgio-nava-phd-pmp-54b8b49b/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Smartville Inc.,Michael Ferry,Energy Distribution & Storage,2020,West,,Y,2024,Y,2026,http://www.smartville.io,,,"Copyright 2026, news about award received in 2025",,https://www.linkedin.com/company/smartville-inc/,,2025,,,Founder holds a full-time university job,https://www.linkedin.com/in/mike-ferry-18376419/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
SolarFlexes,David Lutian,Energy Generation,2020,West,,Y,2024,S,2026,https://www.solarflexes.com/,,,"Copyright 2026, but website contains zero information. Pitchbook shows a $2.09MM grant in 2022 and four employees; not sure if this company is operational.",,https://www.linkedin.com/company/solarflexes/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/dave-lutian-646a554b/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Summit Nanotech,Amanda Hall,Energy Distribution & Storage,2020,West,,Y,2024,Y,2026,https://www.summitnanotech.com/,,,"Copyright 2018, but, 2026 news stories",,https://www.linkedin.com/company/summit-nanotech/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/amanda-hall-cleantech/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Takachar,Kevin Kung,Energy Generation,2020,West,,Y,2024,Y,2026,https://takachar.com/,,,Copyright 2026,,https://www.linkedin.com/company/takachar/,,2026,,,Founder has no conflicting activity,https://www.linkedin.com/in/kevin-kung-69593416/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Terra2,Jay Qu,Energy Generation,2020,West,,Y,2024,N,2024,,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/jayqu/details/experience/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Uplift Solar,Darius Roberts,Energy Generation,2020,West,,Y,2024,Y,2025,https://www.upliftsolar.com/team,,,Copyright 2025,,,,,,,I know the founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Veltra Bikes,Ion Morozan,Transportation,2020,Pacific Northwest,,Y,2024,N,2024,Dead website,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/ion-morozan/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Verne,David Jaramillo,Energy Distribution & Storage,2020,West,,Y,2024,Y,2026,https://www.verne-power.com/,,,2026 and many 2025 news stories,,https://www.linkedin.com/company/vernepower/,,2026,,,Sole current activity for this founder,https://www.linkedin.com/in/david-jaramillo-216a6459/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
ZYD Energy Inc.,Yanda Zhang,Energy Efficiency,2020,West,,Y,2024,N,2024,Dead website,,,,,,,,,,Sole current activity for this founder,https://www.linkedin.com/in/yanda-zhang-790b834/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/6/2026
Aqualumos,Nikolas Franceschi-Hofmann,Agriculture Water & Waste,2021,Northeast,,S,2022,N,2021,https://www.geyser-remediation.com/,,,No current postings,,,,,,,"Founder shows this company plus the Geyser-Remediation website where he is founder, and (at left) that website looks dead. ",https://www.linkedin.com/in/niko-f-h/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Calmura Natural Walls Inc.,Monty Chong-Walden,Green Buildings,2021,Pacific Northwest,,Y,2024,S,2024,https://calmura.ca/,,,Undated news stories and website,,https://www.linkedin.com/company/calmura/,,,,,Founder shows multiple concurrent companies,https://www.linkedin.com/in/montychongwalden/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Ecocrumb,Gautam Muralidharan,Agriculture Water & Waste,2021,Midwest,,Y,2024,N,2024,Company is dead,,,,,,,,,,Founder left to become a partner at PWC,https://www.linkedin.com/in/gautam-muralidharan-6455a33/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Fine Bubble Technologies,Paul Botha,Agriculture Water & Waste,2021,West,,N,2022,S,2024,https://finebubbletechnologies.com/,,,"Copyright 2023, news stories through 2024",,,,,,,,https://www.linkedin.com/in/paul-botha-1344399a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Gridware,Tim Barat,Energy Distribution & Storage,2021,West,,Y,2022,Y,2026,https://www.gridware.io/,,,"Copyright 2026, news from 2025",,https://www.linkedin.com/company/gridwareinc/about/,,2026,,,Sole current activity for this founder,https://www.linkedin.com/in/timothybarat/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
infiniRel Corporation,Bert Wank,Information & Communication Tech,2021,West,,S,2022,S,2024,https://www.infinirel.com/,,,News stories ,,https://www.linkedin.com/company/infinirel-corporation/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/bertwank/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
InfiSense,Tim Guiterman,Information & Communication Tech,2021,Northeast,,N,2022,N,2022,,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/timguiterman/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Innovia GEO Corp.,Andrew Lee,Green Buildings,2021,Northeast,,Y,2022,Y,2026,https://www.innoviageo.com/,,,News story,,https://www.linkedin.com/company/innovia-geo/,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Julius Education,Daniel Goldsmith,Energy Efficiency,2021,Northeast,,S,2022,Y,2026,https://www.juliusedu.com/,,,"Copyright 2026, news from 2025",,https://www.linkedin.com/company/juliusedu/,,2026,,,Sole current activity for this founder,https://www.linkedin.com/in/daniel-goldsmith-224978/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Leap Photovoltaics,David Berney Needleman,Energy Generation,2021,West,,S,2022,S,2023,https://www.leap-pv.com/,,,"Copyright 2023, active newsroom until 2023",,https://www.linkedin.com/company/leap-photovoltaics/about/,,2026,,,"Sole current activity for one founder, but cofounder is an investor with another job",https://www.linkedin.com/in/david-berney-needleman-8aa36123/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
LuftCar,Santh Sathya,Transportation,2021,Southeast,,Y,2022,Y,2026,https://www.luftcar.com/#/,,,2026 log entry,,,,,,,"Founder only engaged in this company, and he is hiring",https://www.linkedin.com/in/santhsathya/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Measured Air Performance,Steven Graves,Energy Efficiency,2021,Northeast,,Y,2022,Y,2026,https://measuredap.com/,,,Copyright 2026,,https://www.linkedin.com/company/measured-air-performance-llc/,,2025,,,Sole current activity for this founder,https://www.linkedin.com/in/steven-graves-b14439/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Neuterra,Fatimah Walee,Energy Efficiency,2021,Northeast,,S,2022,N,2022,Dead website,,,,,https://www.linkedin.com/company/neuterra/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/fatimahwalee/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Noble Thermodynamic Systems, Inc.",Miguel Sierra Aznar,Energy Generation,2021,West,,S,2022,S,2022,https://noblethermo.com/,,,Copyright 2020,,https://www.linkedin.com/company/noble-thermodynamic-systems-inc/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/miguelsaznar/,,,,,,,,,,,,2023,https://www.youtube.com/watch?v=vJJi_baM5nU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Nucleic Sensing Systems, LLC",Edgar Rudberg,Agriculture Water & Waste,2021,Midwest,,Y,2022,Y,2022,https://www.ns2co.com/,,,Postings,,https://www.linkedin.com/company/ns2co/,,2026,,,Sole current activity for this founder,https://www.linkedin.com/in/edrudberg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Osmoses,Francesco Maria Benedetti,Chemicals & Advanced Materials,2021,Northeast,,Y,2022,Y,2026,https://osmoses.com/team/,,,"Copyright 2026, large team, links to LinkedIn for all team members",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"OXbyEL Technologies, Inc.",Edward Ricci,Chemicals & Advanced Materials,2021,Rocky Mountain,,Y,2022,Y,2026,https://oxbyel.com/,,,,,https://www.linkedin.com/company/oxbyel-technologies/,,,,,"This is the only activity for for the chief engineer, and it's the sole current activity for this founder",https://www.linkedin.com/in/edward-d-ricci-6247447/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Princeton NuEnergy,Chao Yan,Energy Generation,2021,Northeast,,Y,2022,Y,2026,https://pnecycle.com/,,,2025 news stories,,https://www.linkedin.com/company/princeton-nuenergy/,,2026,,,Sole current activity for this founder,https://www.linkedin.com/in/chao-yan-pne/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
STAC Technology,Robert Svenning,Energy Efficiency,2021,Northeast,,Y,2022,N,2022,Dead company,,,,,https://www.linkedin.com/company/whisperenergy/,,,,,Past activity for founder,https://www.linkedin.com/in/robertsvenning/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Whisper Energy Systems, Inc.",Michael Gould,Energy Distribution & Storage,2021,West,,S,2022,N,2021,https://www.whisperenergysystems.com/,,,This looks dead. Zero activity since posting about 2021 CEO regional win.,,https://www.linkedin.com/company/whisperenergy/about/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/michael-gould-66842219/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
13 Mari Ltd,Krassi Fotev,Energy Efficiency,2021,Northeast,,S,2022,Y,2026,https://www.13mari.com/,,,Copyright 2026,,https://www.linkedin.com/company/13mari/,,2025,,,"Advisors has this on website for four years through the present, and this is the sole current activity for this founder",https://www.linkedin.com/in/kfotev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
2040 Energy,Joseph Strommen,Green Buildings,2021,Midwest,,S,2022,Y,2025,https://www.2040energy.com/,,,"Copyright 2025, but last news story was 2022",,https://www.linkedin.com/company/2040-energy/,,2025,,,"This is all the founders are doing, and several employees show this as their current sole recent activity",https://www.linkedin.com/in/joestrommen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
ACUA Ocean,Mike Tinmouth,Transportation,2021,Northeast,,Y,2022,Y,2025,https://www.ocean.tech/,,,"Copyright 2025, news in 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Agrivolution LLC,Richard Fu,Agriculture Water & Waste,2021,Northeast,,Y,2024,N,2024,Dead website,,,,,https://www.linkedin.com/company/agrivolution-llc/about/,,,,,The founder has a full-time job elsewhere plus another startup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
ALD Technical Solutions,Davoud Zamani,Chemicals & Advanced Materials,2021,West,,S,2018,N,2021,,,,,,,,,,,Past activity for founder,https://www.linkedin.com/in/davoud-zamani/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Alonetics, LLC",Lance Ahearn,Energy Distribution & Storage,2021,Northeast,,N,2021,N,2021,Can't find a website or references more recent than 2021 CTO activity,,,,,Can't find this founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Ashipa Electric,Olugbenga Ajala,Energy Efficiency,2021,Northeast,,Y,2024,Y,2026,https://www.ashipaelectric.com/,,,2024 news stories,,https://www.linkedin.com/company/ashipaelectric/,,2026,,,Founder has no conflicting activity,https://www.linkedin.com/in/olugbenga-ajala-p-e-02033165/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Barrio Eléctrico,Lauren Rosenblatt,Energy Generation,2021,Northeast,,Y,2024,N,2024,Shut down - I know the founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Biovert Protein Co.,Ltd","Biovert Protein Co.,Ltd",Agriculture Water & Waste,2021,Northeast,,S,2022,N,2022,"Website doesn't work, no recent activity",,,,,https://www.linkedin.com/company/biovert-protein/,,,,,Can't find original founder showing in LinkedIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Blip Energy,Sophia Wennstedt,Energy Distribution & Storage,2021,Midwest,,A,N/A,Y,2026,https://www.blipenergy.com/,,,,,https://www.linkedin.com/company/blip-energy/,,2026,,,"One founder has a full-time job elsewhere, while the other has this as fill time",https://www.linkedin.com/in/sophia-wennstedt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Bonzer Inc,Ivan Li Huang,Transportation,2021,Northeast,,N,2019,N,2021,Dead website,,,,,https://www.linkedin.com/company/bonzer-inc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Brayfoil Technologies,Matthew Bray,Energy Generation,2021,Pacific Northwest,,N,2019,N,2021,Out of business per Pitchbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Carbonii,Francis Grahner,Information & Communication Tech,2021,Midwest,,S,2023,N,2023,Dead website,,,,,,,,,,This company is not listed on the founder's LinkedIn profile,https://www.linkedin.com/in/francis-grahner-cpa-ca-aa351b40/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Clean Earth Rovers, LLC",Michael Arens,Agriculture Water & Waste,2021,Midwest,,Y,2024,Y,2026,https://www.cleanearthrovers.com/,,,Copyright 2026,,https://www.linkedin.com/company/clean-earth-rovers/,,,,,Sole current activity for this founder,https://www.linkedin.com/in/michael-arens-cer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Climate Companion,Cindi Thompson,Information & Communication Tech,2021,West,,N,2022,N,2022,I know the founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
CUPOD,Wayne Osterholm,Chemicals & Advanced Materials,2021,Northeast,,N,2022,N,2022,Can't find a website,,,,,Can't find a LinkedIn company profile,,,,,Sole current activity for this founder,https://www.linkedin.com/in/wayne-osterholm-759a412a3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
Curbhub,Amir Khaleghi,Transportation,2021,Northeast,,Y,2024,Y,2024,https://curbinity.com/,,,,,https://www.linkedin.com/company/curbinity/,,2025,,,Sole current activity for this founder,https://www.linkedin.com/in/amirjkh/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
"Cyclonatix, Inc. ",Jae Young Lim,Energy Efficiency,2021,West,,A,2022,N,2021,https://www.cyclonatix.com/,,,"Nothing current. Lots of people listed, but all are elsewhere.",,,,,,,Sole current activity for this founder,https://www.linkedin.com/in/jae-lim-71802570/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
DND Biotech,cosimo masini,Agriculture Water & Waste,2021,West,,Y,2024,S,2024,https://www.dndbiotech.it/,,,2024 latest news,,https://www.linkedin.com/company/dndbiotech/,,,,,,https://www.linkedin.com/in/cmasini/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/5/2026
